City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Lima,90,PE,1544014800,294.15,5.1,-12.06,-77.04,77
Hobart,0,AU,1544016600,286.15,1,-42.88,147.33,82
Zhenlai,0,CN,1544018180,257.956,4.02,45.84,123.2,53
Hithadhoo,80,MV,1544017918,301.081,4.32,-0.6,73.08,100
Hilo,75,US,1544014380,295.35,3.1,19.71,-155.08,78
Vardo,20,US,1544016000,273.15,1.17,39.62,-77.74,74
Arraial do Cabo,0,BR,1544014800,304.15,5.1,-22.97,-42.02,55
Ostrovnoy,12,RU,1544017964,269.781,5.27,68.05,39.51,93
Kodiak,1,US,1544015700,268.15,3.1,39.95,-94.76,85
Mahebourg,20,MU,1544014800,302.15,4.6,-20.41,57.7,62
Kazerun,0,IR,1544018181,286.831,0.32,29.62,51.65,85
Noumea,90,NC,1544016600,298.15,1,-22.28,166.46,69
Duvan,56,RU,1544018182,263.081,1.72,55.69,57.9,91
Cidreira,0,BR,1544017975,297.131,6.07,-30.17,-50.22,72
Dikson,88,RU,1544017909,262.181,11.87,73.51,80.55,100
Luderitz,0,NA,1544017928,291.781,6.47,-26.65,15.16,67
Darovskoy,92,RU,1544018182,268.456,4.22,58.77,47.96,91
Rikitea,48,PF,1544017880,296.456,0.57,-23.12,-134.97,100
Saint-Louis,0,CH,1544016600,283.15,4.1,47.59,7.56,81
Gambissara,0,SN,1544018183,308.981,4.37,13.24,-14.31,27
Ushuaia,40,AR,1544014800,282.15,11.3,-54.81,-68.31,49
Puerto Ayora,90,EC,1544014800,296.15,5.1,-0.74,-90.35,73
Kaitangata,88,NZ,1544017892,282.081,9.97,-46.28,169.85,80
Husavik,80,CA,1544017905,262.631,3.72,50.56,-96.99,87
Port Lincoln,0,AU,1544017923,294.906,7.02,-34.72,135.86,67
Tiksi,12,RU,1544017889,241.531,1.32,71.64,128.87,38
Clyde River,20,CA,1544014800,246.15,2.6,70.47,-68.59,75
Kouroussa,0,GN,1544018184,307.931,3.67,10.65,-9.88,29
Provideniya,68,RU,1544017883,265.481,11.87,64.42,-173.23,100
Lebu,0,ET,1544017874,292.481,3.22,8.96,38.73,22
Ossora,92,RU,1544018011,271.431,9.57,59.24,163.07,93
Chokurdakh,48,RU,1544017938,243.706,2.32,70.62,147.9,63
Chuy,24,UY,1544017869,294.406,8.22,-33.69,-53.46,81
Hambantota,75,LK,1544015400,298.15,1,6.12,81.12,100
Abu Samrah,92,SY,1544018186,285.781,1.57,35.3,37.18,96
Ancud,0,CL,1544014800,286.15,5.1,-41.87,-73.83,66
Victoria,75,BN,1544016600,301.15,1.5,5.28,115.24,83
Torbay,90,CA,1544014800,269.15,7.7,47.66,-52.73,79
Uttaradit,20,TH,1544018186,298.081,1.22,17.63,100.1,83
Bambous Virieux,20,MU,1544014800,302.15,4.6,-20.34,57.76,62
Cayenne,75,GF,1544016600,301.15,5.1,4.94,-52.33,78
Solnechnyy,0,RU,1544018187,249.631,4.32,50.72,136.64,53
Coihaique,0,CL,1544014800,288.15,1.5,-45.58,-72.07,47
Bonavista,12,CA,1544018073,271.281,10.47,48.65,-53.11,100
Port Alfred,20,ZA,1544017868,296.231,6.37,-33.59,26.89,77
Cape Town,88,ZA,1544017801,292.306,4.42,-33.93,18.42,85
New Norfolk,0,AU,1544016600,286.15,1,-42.78,147.06,82
Lujan,0,AR,1544018188,288.681,1.87,-46.57,-67.67,36
Kanniyakumari,44,IN,1544018188,301.706,7.02,8.08,77.57,99
Albany,40,US,1544015940,266.45,2.1,42.65,-73.75,81
Busselton,100,AU,1544017871,286.131,2.97,-33.64,115.35,100
Suamico,90,US,1544017080,268.15,2.6,44.63,-88.04,71
Mataura,92,NZ,1544017868,282.406,7.47,-46.19,168.86,76
Surgut,75,RU,1544016600,260.15,5,61.25,73.4,84
Punta Arenas,40,CL,1544014800,282.15,9.8,-53.16,-70.91,45
Vaini,75,IN,1544014800,296.15,1.5,15.34,74.49,94
Taoudenni,0,ML,1544018121,303.981,3.57,22.68,-3.98,17
Souillac,90,FR,1544014800,286.15,3.1,45.6,-0.6,87
Isla Vista,90,US,1544016900,288.15,1.5,34.41,-119.86,50
Port Elizabeth,75,US,1544015280,272.55,2.1,39.31,-74.98,74
Calderitas,20,MX,1544014020,295.15,2.52,18.55,-88.26,100
Cherskiy,36,RU,1544017893,241.381,1.37,68.75,161.3,78
Sur,0,OM,1544017879,296.181,1.42,22.57,59.53,100
Yellowknife,90,CA,1544014800,254.15,1.5,62.45,-114.38,84
Saldanha,0,PT,1544017935,285.906,2.12,41.42,-6.55,78
Otjimbingwe,12,NA,1544018191,302.731,5.02,-22.35,16.13,30
Pufesti,20,RO,1544014800,277.15,9.8,46,27.2,78
Pangnirtung,20,CA,1544014800,251.15,1.5,66.15,-65.72,83
Ketchikan,20,US,1544014560,274.25,5.1,55.34,-131.65,85
Tasiilaq,75,GL,1544014200,268.15,6.2,65.61,-37.64,45
Bluff,12,AU,1544017885,294.556,6.62,-23.58,149.07,69
Ilulissat,75,GL,1544014200,267.15,5.1,69.22,-51.1,44
Barrow,36,AR,1544017884,292.781,4.62,-38.31,-60.23,66
Fairbanks,20,US,1544014680,258.65,2.42,64.84,-147.72,89
Turayf,0,SA,1544014800,288.15,1.5,31.68,38.65,54
Ha Giang,92,VN,1544018193,290.906,0.72,22.83,104.99,99
Bernalillo,1,US,1544016900,268.15,1.22,35.3,-106.55,88
Jamestown,8,AU,1544017740,291.956,3.17,-33.21,138.6,42
Mount Gambier,0,AU,1544014800,289.15,1.62,-37.83,140.78,87
Severo-Kurilsk,36,RU,1544017872,273.406,11.57,50.68,156.12,100
Manzanillo,0,CU,1544018194,298.731,3.87,20.34,-77.12,100
Hermanus,88,ZA,1544017931,297.556,2.42,-34.42,19.24,39
Salto,0,UY,1544014800,294.15,5.1,-31.39,-57.96,60
Bathsheba,20,BB,1544014800,302.15,11.3,13.22,-59.52,54
Avarua,75,CK,1544014800,298.15,5.1,-21.21,-159.78,69
Arlit,0,NE,1544017952,301.156,3.67,18.74,7.39,27
Nsoko,12,ZA,1544014800,306.15,2.1,-27.07,31.93,52
Haines Junction,8,CA,1544017963,251.781,0.82,60.75,-137.51,78
Kapaa,75,US,1544014560,297.55,6.7,22.08,-159.32,59
Lompoc,90,US,1544016900,288.75,1.5,34.64,-120.46,50
Zhigansk,12,RU,1544017996,230.431,1.67,66.77,123.37,0
Lasa,75,CY,1544016600,292.15,3.1,34.92,32.53,68
Longyearbyen,75,NO,1544016000,274.15,3.6,78.22,15.63,86
Bredasdorp,64,ZA,1544014800,300.15,9.3,-34.53,20.04,39
Anton Lizardo,90,MX,1544013840,295.15,4.1,19.05,-95.98,88
Upernavik,44,GL,1544017887,267.231,0.92,72.79,-56.15,100
Isangel,92,VU,1544017878,298.431,7.52,-19.55,169.27,100
Manokwari,8,ID,1544017997,301.131,2.77,-0.87,134.08,100
Kudahuvadhoo,68,MV,1544018074,300.831,3.07,2.67,72.89,100
Macapa,90,BR,1544014800,300.15,2.1,0.05,-51.07,100
Rundu,20,NA,1544018101,304.481,1.62,-17.91,19.77,41
Quelimane,20,MZ,1544014800,307.15,5.7,-17.88,36.89,41
Ulcinj,0,ME,1544018198,284.056,3.72,41.93,19.22,97
Camacari,75,BR,1544014800,303.15,2.6,-12.7,-38.32,70
Tautira,0,PF,1544016600,297.15,1,-17.73,-149.15,83
Birao,0,CF,1544018199,305.806,6.52,10.3,22.78,18
Kailua,75,US,1544014620,298.15,6.7,21.39,-157.74,66
Puerto Carreno,0,CO,1544014800,300.15,3.1,6.19,-67.49,78
Khatanga,88,RU,1544017868,255.206,8.27,71.98,102.47,78
Tezu,80,IN,1544018171,285.581,0.77,27.93,96.16,76
Burnie,0,AU,1544018028,288.281,6.57,-41.05,145.91,98
Half Moon Bay,90,US,1544017200,284.85,7.87,37.46,-122.43,100
Ozernovskiy,88,RU,1544018172,273.031,11.52,51.5,156.52,91
Guerrero Negro,56,MX,1544017947,285.331,2.97,27.97,-114.04,92
Road Town,40,VG,1544014800,300.35,3.1,18.42,-64.62,88
Yaan,0,NG,1544018100,310.306,6.62,7.38,8.57,20
Corning,90,US,1544015400,265.35,1.07,42.14,-77.05,87
Plavinas,12,LV,1544018202,274.156,4.07,56.62,25.73,92
Wonthaggi,0,AU,1544018202,288.881,2.17,-38.6,145.59,76
Tilichiki,32,RU,1544018173,242.381,1.97,60.47,166.1,100
Kutum,0,SD,1544017909,298.681,5.52,14.2,24.66,18
